# Simulation data produced by HOMEO---the homeostat simulation program
# Data printed on: 2013-05-10 12:11:29.316084
# There were exactly 2 units in this simulation
Time,Environment,Environment-unisel,Agent,Agent-unisel,
523,3.04224089,0.00000000,0.07716705,1.00000000,
524,3.02536742,0.00000000,0.18380935,1.00000000,
525,3.02969141,0.00000000,0.28658935,1.00000000,
526,3.00651924,0.00000000,0.40057041,1.00000000,
527,2.99387245,0.00000000,0.51435934,1.00000000,
528,2.95352758,0.00000000,0.60969141,1.00000000,
529,2.90842985,0.00000000,0.73904375,1.00000000,
530,2.87601648,0.00000000,0.80132305,1.00000000,
531,2.87025580,0.00000000,0.91115835,1.00000000,
532,2.84263950,0.00000000,1.04076194,1.00000000,
533,2.81585393,0.00000000,1.13660123,1.00000000,
534,2.79465893,0.00000000,1.28986691,1.00000000,
535,2.77024150,0.00000000,1.38247957,1.00000000,
536,2.75706841,0.00000000,1.57289702,1.00000000,
537,2.70378284,0.00000000,1.63578047,1.00000000,
538,2.69220918,0.00000000,1.76248369,1.00000000,
539,2.68166163,0.00000000,1.88077556,1.00000000,
540,2.65930823,0.00000000,1.89085385,1.00000000,
541,2.62615152,0.00000000,1.93451039,1.00000000,
542,2.61659329,0.00000000,1.91369389,1.00000000,
543,2.58458712,0.00000000,1.95330622,1.00000000,
544,2.57040500,0.00000000,2.09287596,1.00000000,
545,2.55332974,0.00000000,2.30409276,1.00000000,
546,2.51987249,0.00000000,2.45547450,1.00000000,
547,2.49660380,0.00000000,2.50762068,1.00000000,
548,2.49604821,0.00000000,2.55492417,1.00000000,
549,2.47977151,0.00000000,2.72615274,1.00000000,
550,2.44191325,0.00000000,2.74060311,1.00000000,
551,2.41296497,0.00000000,2.99117222,1.00000000,
552,2.39888558,0.00000000,2.97451845,1.00000000,
553,2.35647639,0.00000000,3.00699862,1.00000000,
554,2.33357909,0.00000000,3.17687160,1.00000000,
555,2.30466764,0.00000000,3.31363762,1.00000000,
556,2.28968360,0.00000000,3.41084058,1.00000000,
557,2.26567287,0.00000000,3.48288779,1.00000000,
558,2.24359396,0.00000000,3.67259815,1.00000000,
559,2.23037410,0.00000000,3.68951642,1.00000000,
560,2.21314594,0.00000000,3.76671538,1.00000000,
561,2.19992002,0.00000000,3.82382274,1.00000000,
562,2.20701634,0.00000000,3.79225259,1.00000000,
563,2.18796598,0.00000000,3.78418144,1.00000000,
564,2.15512194,0.00000000,4.04902461,1.00000000,
565,2.10970718,0.00000000,4.35252298,1.00000000,
566,2.09305136,0.00000000,4.57606338,1.00000000,
567,2.07499193,0.00000000,4.91602769,1.00000000,
568,2.06577121,0.00000000,5.26548007,1.00000000,
569,2.05145155,0.00000000,5.22538725,1.00000000,
570,2.05940701,0.00000000,5.22573558,1.00000000,
571,2.05524045,0.00000000,5.16918288,1.00000000,
572,2.03297861,0.00000000,4.88761535,1.00000000,
573,2.01175969,0.00000000,4.96262923,1.00000000,
574,2.01979944,0.00000000,4.90834740,1.00000000,
575,1.99583727,0.00000000,4.87071746,1.00000000,
576,1.98920364,0.00000000,4.78561704,1.00000000,
577,1.98190612,0.00000000,4.94954216,1.00000000,
578,1.98359945,0.00000000,5.02688612,1.00000000,
579,1.96837279,0.00000000,5.15339120,1.00000000,
580,1.95410851,0.00000000,5.15988372,1.00000000,
581,1.95816760,0.00000000,5.32322416,1.00000000,
582,1.96697467,0.00000000,5.70203511,1.00000000,
583,1.97189749,0.00000000,5.74189075,1.00000000,
584,1.97485416,0.00000000,5.71139645,1.00000000,
585,1.96384226,0.00000000,5.73081637,1.00000000,
586,1.95855838,0.00000000,5.79763509,1.00000000,
587,1.95827180,0.00000000,5.94673705,1.00000000,
588,1.95169464,0.00000000,5.97853827,1.00000000,
589,1.94211174,0.00000000,5.52165681,1.00000000,
590,1.93441673,0.00000000,5.65205556,1.00000000,
591,1.91719316,0.00000000,5.92490984,1.00000000,
592,1.92215470,0.00000000,5.89228771,1.00000000,
593,1.92726667,0.00000000,5.99015729,1.00000000,
594,1.94005122,0.00000000,6.39509851,1.00000000,
595,1.92857854,0.00000000,6.17633441,1.00000000,
596,1.91659973,0.00000000,6.45703321,1.00000000,
597,1.92619484,0.00000000,6.48618744,1.00000000,
598,1.90359301,0.00000000,6.62324366,1.00000000,
599,1.87586318,0.00000000,6.60184920,1.00000000,
600,1.87409790,0.00000000,6.78231083,1.00000000,
601,1.86281795,0.00000000,6.98769924,1.00000000,
602,1.86761028,0.00000000,6.65320938,1.00000000,
603,1.87328551,0.00000000,6.69311697,1.00000000,
604,1.87097038,0.00000000,6.72673269,1.00000000,
605,1.86428026,0.00000000,6.59046510,1.00000000,
606,1.85303177,0.00000000,6.50196088,1.00000000,
607,1.86864859,0.00000000,6.54972466,1.00000000,
608,1.85337910,0.00000000,6.60911376,1.00000000,
609,1.87584289,0.00000000,6.39678333,1.00000000,
610,1.88432844,0.00000000,6.44482110,1.00000000,
611,1.89676316,0.00000000,6.57224183,1.00000000,
612,1.90396340,0.00000000,6.59186622,1.00000000,
613,1.90458765,0.00000000,6.51637989,1.00000000,
614,1.90196702,0.00000000,6.48405007,1.00000000,
615,1.90273778,0.00000000,6.41737153,1.00000000,
616,1.90479666,0.00000000,6.64874367,1.00000000,
617,1.89313090,0.00000000,6.69391849,1.00000000,
618,1.88891833,0.00000000,6.49526019,1.00000000,
619,1.88905317,0.00000000,6.77569783,1.00000000,
620,1.89515459,0.00000000,6.85225660,1.00000000,
621,1.89973529,0.00000000,7.08078642,1.00000000,
622,1.89612398,0.00000000,6.82219831,1.00000000,
623,1.89884026,0.00000000,7.20568731,1.00000000,
624,1.89657252,0.00000000,7.38599920,1.00000000,
625,1.90133335,0.00000000,7.69453472,1.00000000,
626,1.91160669,0.00000000,7.99714446,1.00000000,
627,1.89878904,0.00000000,7.87563398,1.00000000,
628,1.90585804,0.00000000,8.19710485,1.00000000,
629,1.93290252,0.00000000,8.39116688,1.00000000,
630,1.93497338,0.00000000,8.48697535,1.00000000,
631,1.92538775,0.00000000,8.55047138,1.00000000,
632,1.93816847,0.00000000,8.65355418,1.00000000,
633,1.95255785,0.00000000,8.49405698,1.00000000,
634,1.96445604,0.00000000,8.04816591,1.00000000,
635,1.98056621,0.00000000,8.38898159,1.00000000,
636,2.00070322,0.00000000,8.11634919,1.00000000,
637,2.02455418,0.00000000,8.18834540,1.00000000,
638,2.02460872,0.00000000,8.39566359,1.00000000,
639,2.01889284,0.00000000,8.22944465,1.00000000,
